ticker,date,open,high,low,close,volume
HINDALCO,2023-10-03 05:30:00,483.1,484.55,476.6,479.95,4657602
HINDALCO,2023-10-04 05:30:00,474.0,477.9,470.0,473.4,3302259
HINDALCO,2023-10-05 05:30:00,473.4,482.4,468.35,470.55,4801287
HINDALCO,2023-10-06 05:30:00,475.0,476.45,469.35,472.6,3134022
HINDALCO,2023-10-09 05:30:00,472.45,473.5,464.6,469.8,2681298
HINDALCO,2023-10-10 05:30:00,473.0,484.8,467.0,480.65,7863825
HINDALCO,2023-10-11 05:30:00,485.65,485.95,480.1,483.9,7006735
HINDALCO,2023-10-12 05:30:00,483.1,494.0,482.55,484.4,6895255
HINDALCO,2023-10-13 05:30:00,479.0,487.5,477.5,480.6,4652247
HINDALCO,2023-10-16 05:30:00,479.75,486.5,475.3,483.4,5043158
HINDALCO,2023-10-17 05:30:00,486.5,488.45,480.7,484.35,4495043
HINDALCO,2023-10-18 05:30:00,487.8,494.8,483.55,485.05,7437952
HINDALCO,2023-10-19 05:30:00,478.45,482.25,471.0,479.95,6035837
HINDALCO,2023-10-20 05:30:00,475.0,479.85,470.0,471.75,2777724
HINDALCO,2023-10-23 05:30:00,470.8,473.95,455.0,456.7,2994345
HINDALCO,2023-10-25 05:30:00,466.0,473.0,459.4,461.2,7854105
HINDALCO,2023-10-26 05:30:00,456.7,458.45,448.75,456.65,6625855
HINDALCO,2023-10-27 05:30:00,458.0,464.4,454.45,456.15,6193726
HINDALCO,2023-10-30 05:30:00,458.75,461.75,454.0,456.65,7523779
HINDALCO,2023-10-31 05:30:00,465.0,465.0,453.25,459.5,5236060
HINDALCO,2023-11-01 05:30:00,458.5,466.0,456.0,462.7,4931538
HINDALCO,2023-11-02 05:30:00,463.25,475.8,463.25,474.2,3933951
HINDALCO,2023-11-03 05:30:00,478.95,481.45,474.25,475.2,3274345
HINDALCO,2023-11-06 05:30:00,480.0,484.8,478.25,481.95,4294682
HINDALCO,2023-11-07 05:30:00,482.0,491.5,480.3,484.55,5425669
