ticker,date,open,high,low,close,volume
HDFCLIFE,2023-11-24 05:30:00,666.05,672.25,663.05,668.0,1511079
HDFCLIFE,2023-11-28 05:30:00,668.05,676.7,668.05,673.3,1900825
HDFCLIFE,2023-11-29 05:30:00,677.0,680.45,671.3,675.65,1829510
HDFCLIFE,2023-11-30 05:30:00,676.9,693.0,674.55,690.75,4637116
HDFCLIFE,2023-12-01 05:30:00,694.05,695.0,680.05,682.15,2106753
HDFCLIFE,2023-12-04 05:30:00,689.8,689.8,672.25,674.95,4817286
HDFCLIFE,2023-12-05 05:30:00,679.0,681.3,667.7,672.75,4028068
HDFCLIFE,2023-12-06 05:30:00,677.0,681.8,675.05,677.35,1627777
HDFCLIFE,2023-12-07 05:30:00,680.9,685.7,675.55,678.3,3853936
HDFCLIFE,2023-12-08 05:30:00,680.45,684.0,667.0,671.25,2713075
HDFCLIFE,2023-12-11 05:30:00,671.05,674.5,667.25,672.5,1897948
HDFCLIFE,2023-12-12 05:30:00,676.9,710.6,675.35,707.35,10749420
HDFCLIFE,2023-12-13 05:30:00,706.5,707.0,689.2,698.2,4757264
HDFCLIFE,2023-12-14 05:30:00,702.0,704.0,679.1,684.55,6251731
HDFCLIFE,2023-12-15 05:30:00,688.0,688.0,663.25,673.1,8720610
HDFCLIFE,2023-12-18 05:30:00,673.8,674.8,666.8,672.25,2050286
HDFCLIFE,2023-12-19 05:30:00,673.0,674.05,664.3,666.05,3794818
HDFCLIFE,2023-12-20 05:30:00,671.9,674.0,640.3,644.1,3772684
HDFCLIFE,2023-12-21 05:30:00,641.0,648.7,637.15,644.2,2755102
HDFCLIFE,2023-12-22 05:30:00,646.0,649.0,637.1,639.85,2854029
HDFCLIFE,2023-12-26 05:30:00,641.0,645.9,634.0,638.0,2202221
HDFCLIFE,2023-12-27 05:30:00,643.0,646.0,638.4,643.8,2353373
HDFCLIFE,2023-12-28 05:30:00,647.0,650.95,644.25,648.1,3566880
HDFCLIFE,2023-12-29 05:30:00,648.1,649.85,643.0,646.7,1653662
HDFCLIFE,2024-01-01 05:30:00,647.0,652.35,644.35,648.7,1343888
HDFCLIFE,2024-01-02 05:30:00,649.5,654.3,642.6,645.5,3005450
HDFCLIFE,2024-01-03 05:30:00,644.0,648.45,636.1,637.2,1893956
HDFCLIFE,2024-01-04 05:30:00,638.0,649.0,638.0,647.95,4412550
HDFCLIFE,2024-01-05 05:30:00,648.5,654.55,642.45,646.75,1394951
HDFCLIFE,2024-01-08 05:30:00,647.0,654.15,641.7,645.85,2064691
HDFCLIFE,2024-01-09 05:30:00,647.0,650.8,638.6,640.9,3648496
HDFCLIFE,2024-01-10 05:30:00,642.0,650.35,641.45,644.95,3288472
HDFCLIFE,2024-01-11 05:30:00,646.0,653.1,639.9,644.0,2800658
HDFCLIFE,2024-01-12 05:30:00,646.85,648.6,621.3,637.6,7076942
HDFCLIFE,2024-01-15 05:30:00,637.0,637.0,611.85,614.45,12433539
HDFCLIFE,2024-01-16 05:30:00,615.75,616.85,609.05,611.25,8761562
HDFCLIFE,2024-01-17 05:30:00,611.0,618.5,605.1,606.6,10183042
HDFCLIFE,2024-01-18 05:30:00,608.0,612.3,600.6,607.8,3658639
HDFCLIFE,2024-01-19 05:30:00,614.5,618.4,609.8,615.9,2563065
HDFCLIFE,2024-01-20 05:30:00,618.0,619.5,607.35,608.0,1194291
HDFCLIFE,2024-01-23 05:30:00,600.25,613.75,582.8,586.15,5994679
HDFCLIFE,2024-01-24 05:30:00,590.0,591.0,576.7,581.65,6144401
HDFCLIFE,2024-01-25 05:30:00,584.15,586.55,577.3,579.0,3725167
HDFCLIFE,2024-01-29 05:30:00,575.05,584.0,575.05,578.55,4399011
HDFCLIFE,2024-01-30 05:30:00,583.0,583.6,571.55,575.0,5895638
HDFCLIFE,2024-01-31 05:30:00,573.5,578.0,571.3,576.6,4068280
HDFCLIFE,2024-02-01 05:30:00,577.2,591.4,567.2,587.1,8911872
HDFCLIFE,2024-02-02 05:30:00,589.95,589.95,576.5,578.8,3006965
HDFCLIFE,2024-02-05 05:30:00,578.8,581.95,561.55,563.35,3750294
HDFCLIFE,2024-02-06 05:30:00,564.0,595.05,562.25,592.75,15915028
HDFCLIFE,2024-02-07 05:30:00,597.0,614.0,596.0,605.15,7560296
HDFCLIFE,2024-02-08 05:30:00,605.15,616.05,590.1,591.7,7782663
HDFCLIFE,2024-02-09 05:30:00,591.7,594.15,582.25,584.0,2453771
HDFCLIFE,2024-02-12 05:30:00,584.0,586.5,572.4,577.2,2799522
HDFCLIFE,2024-02-13 05:30:00,577.25,594.0,574.7,589.55,5011128
HDFCLIFE,2024-02-14 05:30:00,582.4,586.95,578.4,585.35,1572158
HDFCLIFE,2024-02-15 05:30:00,586.85,589.35,582.0,585.1,1737411
HDFCLIFE,2024-02-16 05:30:00,588.5,594.0,583.7,592.45,2973324
HDFCLIFE,2024-02-19 05:30:00,594.3,594.3,584.4,585.2,2785107
HDFCLIFE,2024-02-20 05:30:00,580.2,589.5,576.25,587.95,3523966
HDFCLIFE,2024-02-21 05:30:00,587.95,591.25,574.5,577.45,3321288
HDFCLIFE,2024-02-22 05:30:00,578.0,579.4,567.05,574.65,4195869
HDFCLIFE,2024-02-23 05:30:00,577.2,583.35,575.75,580.7,2561028
HDFCLIFE,2024-02-26 05:30:00,568.75,580.95,567.25,576.35,4199991
HDFCLIFE,2024-02-27 05:30:00,576.05,592.0,572.85,581.6,6321068
HDFCLIFE,2024-02-28 05:30:00,582.0,590.9,578.15,580.6,3434747
HDFCLIFE,2024-02-29 05:30:00,581.0,585.9,575.55,582.0,2750947
HDFCLIFE,2024-03-01 05:30:00,584.9,596.8,583.0,589.95,3460443
HDFCLIFE,2024-03-02 05:30:00,594.45,597.0,591.05,592.3,171935
HDFCLIFE,2024-03-04 05:30:00,595.0,620.5,587.6,610.3,7272987
HDFCLIFE,2024-03-05 05:30:00,611.8,615.6,603.75,607.7,4342310
HDFCLIFE,2024-03-06 05:30:00,611.25,618.1,604.7,613.95,4896598
HDFCLIFE,2024-03-07 05:30:00,611.55,624.15,611.55,621.95,3682063
HDFCLIFE,2024-03-11 05:30:00,625.0,629.0,618.9,620.85,3777242
HDFCLIFE,2024-03-12 05:30:00,618.25,629.8,615.05,621.55,4975736
HDFCLIFE,2024-03-13 05:30:00,623.25,626.7,604.05,610.05,2840155
HDFCLIFE,2024-03-14 05:30:00,603.0,624.5,598.2,622.25,3750622
HDFCLIFE,2024-03-15 05:30:00,620.0,634.8,611.3,632.35,4896049
HDFCLIFE,2024-03-18 05:30:00,634.95,636.55,628.25,634.1,2911589
HDFCLIFE,2024-03-19 05:30:00,634.0,636.5,623.35,632.5,3861068
HDFCLIFE,2024-03-20 05:30:00,630.0,632.5,619.4,626.4,1712459
HDFCLIFE,2024-03-21 05:30:00,629.0,639.0,620.0,622.25,7197320
HDFCLIFE,2024-03-22 05:30:00,623.9,628.65,616.0,623.85,3636733
HDFCLIFE,2024-03-26 05:30:00,638.85,642.8,625.5,626.9,13822598
HDFCLIFE,2024-03-27 05:30:00,627.5,638.4,624.05,626.35,13848953
HDFCLIFE,2024-03-28 05:30:00,626.35,638.75,626.35,633.35,6878964
HDFCLIFE,2024-04-01 05:30:00,638.0,638.0,628.0,634.75,3874744
HDFCLIFE,2024-04-02 05:30:00,631.1,641.65,631.1,631.9,5179918
HDFCLIFE,2024-04-03 05:30:00,629.85,630.0,620.4,624.1,3822465
HDFCLIFE,2024-04-04 05:30:00,625.0,626.5,618.1,622.4,3858229
HDFCLIFE,2024-04-05 05:30:00,621.0,630.45,616.3,629.4,3860995
HDFCLIFE,2024-04-08 05:30:00,630.0,635.9,626.55,634.6,3403360
HDFCLIFE,2024-04-09 05:30:00,639.0,639.15,632.65,633.95,2873703
HDFCLIFE,2024-04-10 05:30:00,636.0,637.1,620.0,621.5,6753666
HDFCLIFE,2024-04-12 05:30:00,621.0,624.0,616.25,618.5,5081775
HDFCLIFE,2024-04-15 05:30:00,610.05,616.5,604.1,612.95,2594888
HDFCLIFE,2024-04-16 05:30:00,609.05,611.1,600.6,604.6,4970256
HDFCLIFE,2024-04-18 05:30:00,618.0,624.0,604.15,605.65,11984298
HDFCLIFE,2024-04-19 05:30:00,600.0,604.4,581.1,601.55,10243493
HDFCLIFE,2024-04-22 05:30:00,601.85,608.85,598.1,605.95,3076888
HDFCLIFE,2024-04-23 05:30:00,606.05,609.15,598.0,601.15,4527775
HDFCLIFE,2024-04-24 05:30:00,600.05,601.1,593.0,594.2,4095087
HDFCLIFE,2024-04-25 05:30:00,595.45,596.4,585.6,594.7,6150372
HDFCLIFE,2024-04-26 05:30:00,597.0,603.4,587.0,587.85,3094364
HDFCLIFE,2024-04-29 05:30:00,590.0,591.95,571.0,575.1,8879207
HDFCLIFE,2024-04-30 05:30:00,576.55,588.5,576.05,583.65,9926485
HDFCLIFE,2024-05-02 05:30:00,584.3,586.55,573.4,576.35,8292342
HDFCLIFE,2024-05-03 05:30:00,581.8,581.8,565.25,565.9,8574215
HDFCLIFE,2024-05-06 05:30:00,569.9,569.9,550.2,555.05,8759027
HDFCLIFE,2024-05-07 05:30:00,559.5,561.95,549.6,552.35,7783593
HDFCLIFE,2024-05-08 05:30:00,552.1,553.95,548.0,550.45,6715043
HDFCLIFE,2024-05-09 05:30:00,551.05,551.9,538.0,539.55,13570152
HDFCLIFE,2024-05-10 05:30:00,542.8,553.8,539.55,548.55,7524779
HDFCLIFE,2024-05-13 05:30:00,553.8,568.45,547.15,559.65,7867089
HDFCLIFE,2024-05-14 05:30:00,566.0,568.0,560.0,561.55,5348599
HDFCLIFE,2024-05-15 05:30:00,561.55,562.0,555.0,555.95,2415161
HDFCLIFE,2024-05-16 05:30:00,557.0,568.2,550.7,567.05,4543902
HDFCLIFE,2024-05-17 05:30:00,567.05,572.0,561.45,570.2,3992575
HDFCLIFE,2024-05-18 05:30:00,570.05,571.95,566.75,569.4,145527
HDFCLIFE,2024-05-21 05:30:00,569.4,570.0,563.05,565.6,5583840
HDFCLIFE,2024-05-22 05:30:00,565.6,566.8,559.65,560.4,3820060
HDFCLIFE,2024-05-23 05:30:00,564.0,569.2,558.05,565.65,7106820
HDFCLIFE,2024-05-24 05:30:00,565.0,571.8,563.45,565.1,3433290
HDFCLIFE,2024-05-27 05:30:00,565.2,569.3,562.1,564.25,2624929
HDFCLIFE,2024-05-28 05:30:00,567.0,579.95,563.65,578.45,5797999
HDFCLIFE,2024-05-29 05:30:00,578.45,578.45,560.9,561.85,6259646
HDFCLIFE,2024-05-30 05:30:00,552.75,563.85,548.25,550.75,6312875
HDFCLIFE,2024-05-31 05:30:00,551.9,556.3,546.55,549.85,9707990
HDFCLIFE,2024-06-03 05:30:00,568.95,569.25,547.05,550.1,9263670
HDFCLIFE,2024-06-04 05:30:00,555.0,555.0,511.4,534.45,9783762
HDFCLIFE,2024-06-05 05:30:00,540.0,554.3,536.1,551.95,3234914
HDFCLIFE,2024-06-06 05:30:00,555.0,558.75,550.4,555.25,3970217
HDFCLIFE,2024-06-07 05:30:00,555.05,563.6,553.5,562.95,3382962
HDFCLIFE,2024-06-10 05:30:00,563.25,574.55,561.3,569.2,3863289
HDFCLIFE,2024-06-11 05:30:00,571.5,576.9,566.2,571.7,6417670
HDFCLIFE,2024-06-12 05:30:00,571.7,577.75,569.6,572.7,4304369
HDFCLIFE,2024-06-13 05:30:00,565.0,598.4,565.0,593.5,24352341
HDFCLIFE,2024-06-14 05:30:00,599.15,601.8,594.05,598.35,7308942
HDFCLIFE,2024-06-18 05:30:00,596.85,605.0,591.8,601.2,5120280
HDFCLIFE,2024-06-19 05:30:00,602.1,605.15,592.35,596.2,4453729
HDFCLIFE,2024-06-20 05:30:00,596.2,597.5,582.7,590.1,6133067
HDFCLIFE,2024-06-21 05:30:00,588.0,592.6,580.0,580.95,7263396
HDFCLIFE,2024-06-24 05:30:00,580.0,582.45,575.65,579.5,3226301
HDFCLIFE,2024-06-25 05:30:00,579.0,592.25,576.95,590.95,6593288
HDFCLIFE,2024-06-26 05:30:00,591.65,599.0,587.2,589.05,3672989
HDFCLIFE,2024-06-27 05:30:00,589.05,595.0,586.6,593.25,4772196
HDFCLIFE,2024-06-28 05:30:00,594.0,599.8,590.0,595.05,3646272
HDFCLIFE,2024-07-01 05:30:00,590.15,603.05,589.6,600.75,3342913
HDFCLIFE,2024-07-02 05:30:00,603.7,603.75,586.5,589.8,6477279
HDFCLIFE,2024-07-03 05:30:00,592.4,598.85,590.5,596.15,2134587
HDFCLIFE,2024-07-04 05:30:00,596.0,607.3,594.3,603.95,5028421
HDFCLIFE,2024-07-05 05:30:00,606.2,608.8,600.65,607.35,3493050
HDFCLIFE,2024-07-08 05:30:00,609.0,622.05,608.6,620.9,6800857
HDFCLIFE,2024-07-09 05:30:00,622.0,629.35,620.9,623.65,5000797
HDFCLIFE,2024-07-10 05:30:00,624.0,640.75,615.6,632.75,6186968
HDFCLIFE,2024-07-11 05:30:00,635.95,636.6,629.3,634.25,3573349
HDFCLIFE,2024-07-12 05:30:00,634.0,636.4,627.1,635.55,2643647
HDFCLIFE,2024-07-15 05:30:00,635.55,648.0,630.5,638.05,6951688
HDFCLIFE,2024-07-16 05:30:00,642.0,655.0,633.35,646.75,9167071
HDFCLIFE,2024-07-18 05:30:00,646.75,651.4,641.1,648.9,3975243
HDFCLIFE,2024-07-19 05:30:00,644.65,646.0,634.15,635.9,2496778
HDFCLIFE,2024-07-22 05:30:00,631.9,641.0,628.95,637.4,3854108
HDFCLIFE,2024-07-23 05:30:00,642.0,649.7,623.25,643.95,9082995
HDFCLIFE,2024-07-24 05:30:00,639.6,675.0,639.3,672.8,12377638
HDFCLIFE,2024-07-25 05:30:00,666.0,685.6,665.55,683.15,9386864
HDFCLIFE,2024-07-26 05:30:00,683.15,709.8,682.05,703.35,8933046
HDFCLIFE,2024-07-29 05:30:00,703.55,710.0,693.75,696.85,4676765
HDFCLIFE,2024-07-30 05:30:00,696.1,708.35,683.9,697.2,6134510
HDFCLIFE,2024-07-31 05:30:00,697.2,719.0,693.1,715.5,6683204
HDFCLIFE,2024-08-01 05:30:00,715.0,722.5,710.05,713.6,4074648
HDFCLIFE,2024-08-02 05:30:00,707.5,712.75,699.05,707.4,2710858
HDFCLIFE,2024-08-05 05:30:00,693.0,713.9,690.05,710.9,9327217
HDFCLIFE,2024-08-06 05:30:00,711.65,719.0,677.3,679.6,6106310
HDFCLIFE,2024-08-07 05:30:00,682.1,697.7,682.1,696.25,5154327
HDFCLIFE,2024-08-08 05:30:00,691.1,713.2,689.7,710.35,5953315
HDFCLIFE,2024-08-09 05:30:00,714.2,715.0,701.45,702.4,2848313
HDFCLIFE,2024-08-12 05:30:00,698.6,713.65,692.2,702.45,3723417
HDFCLIFE,2024-08-13 05:30:00,698.1,707.3,677.5,685.0,5741391
HDFCLIFE,2024-08-14 05:30:00,686.0,690.6,676.4,686.35,2962358
HDFCLIFE,2024-08-16 05:30:00,664.65,690.6,664.65,689.4,4584181
HDFCLIFE,2024-08-19 05:30:00,689.4,689.4,678.5,685.7,2352893
HDFCLIFE,2024-08-20 05:30:00,687.0,713.0,684.05,710.6,6828474
HDFCLIFE,2024-08-21 05:30:00,714.35,727.6,708.65,724.55,6186935
HDFCLIFE,2024-08-22 05:30:00,726.0,729.9,720.05,726.0,3889249
HDFCLIFE,2024-08-23 05:30:00,725.0,730.5,723.45,729.0,3898989
HDFCLIFE,2024-08-26 05:30:00,734.0,734.0,719.25,725.65,2131814
HDFCLIFE,2024-08-27 05:30:00,724.0,742.45,719.3,739.55,5627130
HDFCLIFE,2024-08-28 05:30:00,739.95,746.55,734.05,742.1,2995930
HDFCLIFE,2024-08-29 05:30:00,740.0,748.5,731.85,736.9,3962913
HDFCLIFE,2024-08-30 05:30:00,736.9,742.7,733.5,738.7,6227807
HDFCLIFE,2024-09-02 05:30:00,743.15,754.0,739.85,745.3,3073926
HDFCLIFE,2024-09-03 05:30:00,754.0,761.2,741.65,758.75,6268050
HDFCLIFE,2024-09-04 05:30:00,751.7,759.45,748.4,758.8,3031650
HDFCLIFE,2024-09-05 05:30:00,758.0,758.65,750.4,751.85,1759438
HDFCLIFE,2024-09-06 05:30:00,750.0,754.1,736.05,738.4,2765612
HDFCLIFE,2024-09-09 05:30:00,735.1,749.0,731.25,735.8,2635184
HDFCLIFE,2024-09-10 05:30:00,730.0,732.15,701.2,702.9,7366304
HDFCLIFE,2024-09-11 05:30:00,701.0,704.3,696.0,700.15,4604184
HDFCLIFE,2024-09-12 05:30:00,703.15,715.95,698.3,714.55,3487862
HDFCLIFE,2024-09-13 05:30:00,712.0,713.75,703.15,705.4,1886832
HDFCLIFE,2024-09-16 05:30:00,708.85,709.2,698.0,701.35,2754818
HDFCLIFE,2024-09-17 05:30:00,701.35,702.9,691.55,698.9,2985585
HDFCLIFE,2024-09-18 05:30:00,698.9,705.2,693.4,698.8,1527865
HDFCLIFE,2024-09-19 05:30:00,700.35,708.1,697.75,701.5,2202499
HDFCLIFE,2024-09-20 05:30:00,702.0,721.0,702.0,711.1,7891171
HDFCLIFE,2024-09-23 05:30:00,718.85,730.0,714.05,727.5,2943802
HDFCLIFE,2024-09-24 05:30:00,727.5,728.95,715.15,720.7,3212859
HDFCLIFE,2024-09-25 05:30:00,722.0,723.1,710.1,716.55,1096265
HDFCLIFE,2024-09-26 05:30:00,716.55,732.0,714.3,729.55,2797065
HDFCLIFE,2024-09-27 05:30:00,729.45,740.65,726.35,730.2,4567661
HDFCLIFE,2024-09-30 05:30:00,735.0,736.35,716.0,718.0,2488795
HDFCLIFE,2024-10-01 05:30:00,716.0,723.35,706.6,710.2,1987048
HDFCLIFE,2024-10-03 05:30:00,696.55,711.95,696.5,702.25,2542774
HDFCLIFE,2024-10-04 05:30:00,702.25,713.5,701.55,708.8,2616851
HDFCLIFE,2024-10-07 05:30:00,711.65,719.3,702.9,705.85,3474485
HDFCLIFE,2024-10-08 05:30:00,700.5,712.55,699.8,710.1,3767320
HDFCLIFE,2024-10-09 05:30:00,709.85,725.45,703.75,717.3,1743202
HDFCLIFE,2024-10-10 05:30:00,721.0,726.2,713.3,723.65,2249443
HDFCLIFE,2024-10-11 05:30:00,721.5,725.5,717.0,723.85,1984588
HDFCLIFE,2024-10-14 05:30:00,728.0,741.6,726.3,740.6,3985624
HDFCLIFE,2024-10-15 05:30:00,742.8,746.45,711.3,714.25,6665822
HDFCLIFE,2024-10-16 05:30:00,723.45,732.45,714.85,726.8,5375005
HDFCLIFE,2024-10-17 05:30:00,730.0,731.5,715.95,726.1,4310887
HDFCLIFE,2024-10-18 05:30:00,726.0,744.0,720.1,742.45,3703858
HDFCLIFE,2024-10-21 05:30:00,748.85,755.45,742.45,745.85,4508689
HDFCLIFE,2024-10-22 05:30:00,745.8,749.75,724.35,728.2,3346783
HDFCLIFE,2024-10-23 05:30:00,725.0,732.0,718.2,723.75,1668266
HDFCLIFE,2024-10-24 05:30:00,725.0,735.0,711.05,714.85,1806714
HDFCLIFE,2024-10-25 05:30:00,718.0,719.7,700.0,709.45,2852838
HDFCLIFE,2024-10-28 05:30:00,710.25,721.8,705.7,718.25,1448334
HDFCLIFE,2024-10-29 05:30:00,718.0,745.1,708.15,742.4,4585180
HDFCLIFE,2024-10-30 05:30:00,744.25,745.0,724.55,727.05,1645358
HDFCLIFE,2024-10-31 05:30:00,723.1,726.75,713.15,720.15,2028752
HDFCLIFE,2024-11-01 05:30:00,721.95,726.0,720.15,723.7,198743
HDFCLIFE,2024-11-04 05:30:00,720.2,727.6,706.1,710.85,2047984
HDFCLIFE,2024-11-05 05:30:00,710.8,726.6,685.4,717.25,5036300
HDFCLIFE,2024-11-06 05:30:00,717.0,718.0,704.35,708.7,2878220
HDFCLIFE,2024-11-07 05:30:00,708.7,713.7,703.3,711.7,1935062
HDFCLIFE,2024-11-08 05:30:00,709.5,719.85,707.0,708.5,1272302
HDFCLIFE,2024-11-11 05:30:00,704.1,711.6,695.8,705.35,1888427
HDFCLIFE,2024-11-12 05:30:00,707.55,719.85,696.1,700.0,2502158
HDFCLIFE,2024-11-13 05:30:00,695.0,698.85,683.15,685.05,2080391
HDFCLIFE,2024-11-14 05:30:00,681.5,696.7,681.5,694.0,1715862
HDFCLIFE,2024-11-18 05:30:00,687.0,693.95,682.5,690.5,1666040
HDFCLIFE,2024-11-19 05:30:00,688.05,693.0,668.3,680.4,6438490
HDFCLIFE,2024-11-21 05:30:00,680.4,680.95,668.85,674.4,2194259
HDFCLIFE,2024-11-22 05:30:00,680.0,691.3,674.15,688.2,1788502
