ticker,date,open,high,low,close,volume,sector
ICICIBANK,2023-12-19 05:30:00,1025.5,1025.5,1012.6,1015.45,10094256,Financial Services
ICICIBANK,2023-12-20 05:30:00,1022.0,1022.0,1002.0,1006.65,16490281,Financial Services
ICICIBANK,2023-12-21 05:30:00,996.55,1010.9,989.2,1004.4,18064916,Financial Services
ICICIBANK,2023-12-22 05:30:00,1002.95,1009.55,991.6,994.3,20881976,Financial Services
ICICIBANK,2023-12-26 05:30:00,994.9,997.5,989.9,995.1,14339699,Financial Services
ICICIBANK,2023-12-27 05:30:00,997.95,1004.9,992.0,1002.25,12996468,Financial Services
ICICIBANK,2023-12-28 05:30:00,1008.0,1011.7,999.1,1005.9,24915990,Financial Services
ICICIBANK,2023-12-29 05:30:00,1004.05,1008.55,993.7,996.6,12280140,Financial Services
ICICIBANK,2024-01-01 05:30:00,991.55,1004.85,991.0,999.4,7683792,Financial Services
ICICIBANK,2024-01-02 05:30:00,997.0,997.65,980.25,982.25,16263825,Financial Services
ICICIBANK,2024-01-03 05:30:00,984.7,988.0,975.1,984.05,16826752,Financial Services
ICICIBANK,2024-01-04 05:30:00,986.4,989.15,981.9,987.15,22789140,Financial Services
ICICIBANK,2024-01-05 05:30:00,988.0,998.3,983.8,993.7,14875499,Financial Services
ICICIBANK,2024-01-08 05:30:00,994.0,998.2,980.3,982.0,8393164,Financial Services
ICICIBANK,2024-01-09 05:30:00,986.25,995.0,975.4,979.75,14660414,Financial Services
ICICIBANK,2024-01-10 05:30:00,974.3,994.95,974.3,993.05,9409181,Financial Services
ICICIBANK,2024-01-11 05:30:00,995.3,998.5,986.85,991.15,6451345,Financial Services
ICICIBANK,2024-01-12 05:30:00,994.8,1008.7,991.75,1003.5,12255743,Financial Services
ICICIBANK,2024-01-15 05:30:00,1003.5,1011.65,999.25,1009.85,12388044,Financial Services
ICICIBANK,2024-01-16 05:30:00,1006.1,1015.8,1004.6,1009.05,11505126,Financial Services
ICICIBANK,2024-01-17 05:30:00,987.9,1007.8,976.75,981.75,41914771,Financial Services
ICICIBANK,2024-01-18 05:30:00,973.95,994.3,970.15,986.35,17902484,Financial Services
ICICIBANK,2024-01-19 05:30:00,991.3,1010.9,987.55,999.2,23271148,Financial Services
ICICIBANK,2024-01-20 05:30:00,1005.95,1014.7,995.3,1008.7,8788873,Financial Services
ICICIBANK,2024-01-23 05:30:00,1059.1,1059.4,1021.2,1029.05,50797448,Financial Services
ICICIBANK,2024-01-24 05:30:00,1029.45,1035.95,996.65,999.2,34578943,Financial Services
ICICIBANK,2024-01-25 05:30:00,998.4,1015.1,988.15,1009.95,28315035,Financial Services
ICICIBANK,2024-01-29 05:30:00,1020.0,1032.0,1010.0,1016.4,14078922,Financial Services
ICICIBANK,2024-01-30 05:30:00,1014.95,1023.85,1008.0,1016.9,16085742,Financial Services
ICICIBANK,2024-01-31 05:30:00,1016.8,1039.0,1003.25,1028.15,25627447,Financial Services
ICICIBANK,2024-02-01 05:30:00,1033.95,1033.95,1017.4,1025.15,13058880,Financial Services
ICICIBANK,2024-02-02 05:30:00,1037.1,1050.0,1021.65,1024.0,14774650,Financial Services
ICICIBANK,2024-02-05 05:30:00,1022.5,1026.45,1012.1,1023.5,12948430,Financial Services
ICICIBANK,2024-02-06 05:30:00,1023.55,1034.9,1016.7,1026.4,12886927,Financial Services
ICICIBANK,2024-02-07 05:30:00,1028.0,1031.55,1013.0,1022.15,16410895,Financial Services
ICICIBANK,2024-02-08 05:30:00,1024.1,1028.25,985.25,989.3,20565502,Financial Services
ICICIBANK,2024-02-09 05:30:00,988.85,1013.75,985.5,1010.7,12799837,Financial Services
ICICIBANK,2024-02-12 05:30:00,1010.4,1012.2,985.25,996.1,8050066,Financial Services
ICICIBANK,2024-02-13 05:30:00,1006.0,1027.05,1000.3,1019.8,18706292,Financial Services
ICICIBANK,2024-02-14 05:30:00,1009.55,1035.7,1007.55,1022.7,17878720,Financial Services
ICICIBANK,2024-02-15 05:30:00,1022.85,1026.65,1006.6,1016.65,10069878,Financial Services
ICICIBANK,2024-02-16 05:30:00,1023.2,1026.2,1016.9,1023.25,7159395,Financial Services
ICICIBANK,2024-02-19 05:30:00,1023.35,1046.0,1023.35,1043.75,9388255,Financial Services
ICICIBANK,2024-02-20 05:30:00,1041.05,1052.65,1033.25,1048.75,11293528,Financial Services
ICICIBANK,2024-02-21 05:30:00,1056.8,1064.0,1048.0,1051.95,15946325,Financial Services
ICICIBANK,2024-02-22 05:30:00,1056.0,1066.0,1040.3,1062.7,13432573,Financial Services
ICICIBANK,2024-02-23 05:30:00,1070.0,1070.0,1057.65,1061.3,13142759,Financial Services
ICICIBANK,2024-02-26 05:30:00,1053.1,1062.3,1050.5,1054.2,7875941,Financial Services
ICICIBANK,2024-02-27 05:30:00,1050.75,1066.2,1046.5,1060.2,10580973,Financial Services
ICICIBANK,2024-02-28 05:30:00,1063.0,1064.85,1042.15,1046.2,7730332,Financial Services
ICICIBANK,2024-02-29 05:30:00,1043.05,1060.7,1038.5,1052.2,20944844,Financial Services
ICICIBANK,2024-03-01 05:30:00,1055.0,1089.95,1054.0,1086.9,14909562,Financial Services
ICICIBANK,2024-03-02 05:30:00,1087.25,1089.45,1080.5,1084.65,481475,Financial Services
ICICIBANK,2024-03-04 05:30:00,1081.0,1095.0,1080.1,1092.35,11424581,Financial Services
ICICIBANK,2024-03-05 05:30:00,1086.2,1099.5,1076.5,1088.05,9222544,Financial Services
ICICIBANK,2024-03-06 05:30:00,1080.3,1113.55,1080.3,1097.1,21796484,Financial Services
ICICIBANK,2024-03-07 05:30:00,1094.95,1095.0,1082.7,1087.95,9963926,Financial Services
ICICIBANK,2024-03-11 05:30:00,1087.95,1087.95,1076.75,1078.7,13310362,Financial Services
ICICIBANK,2024-03-12 05:30:00,1077.05,1094.8,1055.65,1076.85,21785435,Financial Services
ICICIBANK,2024-03-13 05:30:00,1077.15,1089.65,1073.15,1083.95,24855870,Financial Services
ICICIBANK,2024-03-14 05:30:00,1080.0,1097.1,1075.05,1083.6,14231421,Financial Services
ICICIBANK,2024-03-15 05:30:00,1072.0,1086.25,1070.0,1080.35,66192734,Financial Services
ICICIBANK,2024-03-18 05:30:00,1075.05,1084.8,1060.05,1081.2,8769440,Financial Services
ICICIBANK,2024-03-19 05:30:00,1078.45,1088.75,1075.25,1083.95,16708715,Financial Services
ICICIBANK,2024-03-20 05:30:00,1080.0,1090.0,1067.5,1084.5,18725251,Financial Services
ICICIBANK,2024-03-21 05:30:00,1092.0,1100.0,1079.15,1081.8,19992607,Financial Services
ICICIBANK,2024-03-22 05:30:00,1081.15,1093.7,1078.7,1090.3,17214415,Financial Services
ICICIBANK,2024-03-26 05:30:00,1081.0,1089.15,1076.95,1083.7,13367635,Financial Services
ICICIBANK,2024-03-27 05:30:00,1083.7,1092.5,1079.55,1083.75,26907245,Financial Services
ICICIBANK,2024-03-28 05:30:00,1085.0,1105.05,1085.0,1093.3,22070566,Financial Services
ICICIBANK,2024-04-01 05:30:00,1096.05,1102.95,1094.45,1099.65,10848191,Financial Services
ICICIBANK,2024-04-02 05:30:00,1094.45,1094.45,1079.25,1081.2,14380396,Financial Services
ICICIBANK,2024-04-03 05:30:00,1075.0,1083.65,1072.25,1077.2,15477184,Financial Services
ICICIBANK,2024-04-04 05:30:00,1084.75,1085.8,1063.45,1078.85,21419689,Financial Services
ICICIBANK,2024-04-05 05:30:00,1070.0,1086.0,1067.45,1083.4,15340637,Financial Services
ICICIBANK,2024-04-08 05:30:00,1078.35,1091.75,1076.3,1087.15,8023461,Financial Services
ICICIBANK,2024-04-09 05:30:00,1091.95,1115.25,1088.3,1107.05,12298463,Financial Services
ICICIBANK,2024-04-10 05:30:00,1110.95,1116.55,1105.15,1109.4,10598000,Financial Services
ICICIBANK,2024-04-12 05:30:00,1103.5,1111.85,1095.8,1104.4,12216657,Financial Services
ICICIBANK,2024-04-15 05:30:00,1100.2,1106.15,1076.6,1078.35,10526597,Financial Services
ICICIBANK,2024-04-16 05:30:00,1070.55,1074.6,1062.7,1067.05,11278092,Financial Services
ICICIBANK,2024-04-18 05:30:00,1074.0,1078.05,1050.45,1055.45,16564216,Financial Services
ICICIBANK,2024-04-19 05:30:00,1052.95,1072.0,1048.1,1067.25,11284433,Financial Services
ICICIBANK,2024-04-22 05:30:00,1078.8,1088.7,1070.35,1086.65,10346714,Financial Services
ICICIBANK,2024-04-23 05:30:00,1100.0,1100.0,1082.7,1090.25,9848215,Financial Services
ICICIBANK,2024-04-24 05:30:00,1092.25,1098.4,1089.0,1096.75,5461309,Financial Services
ICICIBANK,2024-04-25 05:30:00,1090.0,1125.65,1089.95,1113.75,19905338,Financial Services
ICICIBANK,2024-04-26 05:30:00,1112.15,1120.0,1102.75,1107.9,14190059,Financial Services
ICICIBANK,2024-04-29 05:30:00,1108.0,1163.45,1107.9,1160.15,28578063,Financial Services
ICICIBANK,2024-04-30 05:30:00,1159.95,1169.55,1146.75,1150.4,29568491,Financial Services
ICICIBANK,2024-05-02 05:30:00,1143.0,1155.5,1133.25,1139.45,25118334,Financial Services
ICICIBANK,2024-05-03 05:30:00,1141.3,1157.4,1135.45,1142.05,19933604,Financial Services
ICICIBANK,2024-05-06 05:30:00,1141.55,1158.45,1138.1,1146.3,14970524,Financial Services
ICICIBANK,2024-05-07 05:30:00,1147.95,1152.75,1126.3,1131.9,15097728,Financial Services
ICICIBANK,2024-05-08 05:30:00,1126.55,1132.0,1116.05,1123.0,19913090,Financial Services
ICICIBANK,2024-05-09 05:30:00,1120.55,1128.85,1110.0,1115.7,12229853,Financial Services
ICICIBANK,2024-05-10 05:30:00,1118.0,1128.9,1112.05,1117.05,8573656,Financial Services
ICICIBANK,2024-05-13 05:30:00,1112.4,1130.65,1106.7,1128.0,9707983,Financial Services
ICICIBANK,2024-05-14 05:30:00,1125.9,1127.9,1118.55,1120.55,8944262,Financial Services
ICICIBANK,2024-05-15 05:30:00,1122.1,1127.8,1113.5,1124.35,10743423,Financial Services
ICICIBANK,2024-05-16 05:30:00,1133.0,1136.55,1112.8,1131.05,14265565,Financial Services
ICICIBANK,2024-05-17 05:30:00,1131.05,1144.0,1120.6,1130.5,8641784,Financial Services
ICICIBANK,2024-05-18 05:30:00,1131.0,1133.0,1126.9,1130.75,312750,Financial Services
ICICIBANK,2024-05-21 05:30:00,1122.2,1133.8,1116.25,1120.95,10452900,Financial Services
ICICIBANK,2024-05-22 05:30:00,1125.0,1125.9,1098.1,1111.1,17527411,Financial Services
ICICIBANK,2024-05-23 05:30:00,1115.55,1137.0,1111.4,1134.5,13787687,Financial Services
ICICIBANK,2024-05-24 05:30:00,1130.0,1135.0,1124.15,1131.95,6312670,Financial Services
ICICIBANK,2024-05-27 05:30:00,1131.9,1147.8,1121.55,1129.8,11599857,Financial Services
ICICIBANK,2024-05-28 05:30:00,1132.5,1135.2,1125.0,1126.95,9311718,Financial Services
ICICIBANK,2024-05-29 05:30:00,1115.05,1123.55,1098.5,1102.0,19268547,Financial Services
ICICIBANK,2024-05-30 05:30:00,1097.0,1121.0,1096.9,1113.7,15255387,Financial Services
ICICIBANK,2024-05-31 05:30:00,1118.0,1130.6,1111.25,1121.05,26197718,Financial Services
ICICIBANK,2024-06-03 05:30:00,1170.0,1173.0,1136.3,1160.0,25699977,Financial Services
ICICIBANK,2024-06-04 05:30:00,1157.9,1159.4,1053.55,1071.45,43476837,Financial Services
ICICIBANK,2024-06-05 05:30:00,1085.0,1123.25,1051.05,1108.65,42172104,Financial Services
ICICIBANK,2024-06-06 05:30:00,1118.0,1118.0,1096.6,1110.4,18574162,Financial Services
ICICIBANK,2024-06-07 05:30:00,1110.4,1128.3,1103.6,1121.7,17197635,Financial Services
ICICIBANK,2024-06-10 05:30:00,1116.0,1133.2,1115.1,1123.8,10851455,Financial Services
ICICIBANK,2024-06-11 05:30:00,1119.75,1129.05,1111.0,1118.2,12250002,Financial Services
ICICIBANK,2024-06-12 05:30:00,1121.0,1133.4,1112.0,1119.55,16096514,Financial Services
ICICIBANK,2024-06-13 05:30:00,1122.2,1123.2,1105.0,1107.35,12494254,Financial Services
ICICIBANK,2024-06-14 05:30:00,1114.0,1114.0,1099.45,1105.65,11377979,Financial Services
ICICIBANK,2024-06-18 05:30:00,1113.95,1135.05,1101.2,1122.85,18306176,Financial Services
ICICIBANK,2024-06-19 05:30:00,1127.95,1165.55,1126.15,1144.45,34309514,Financial Services
ICICIBANK,2024-06-20 05:30:00,1154.05,1160.0,1135.5,1156.8,15475933,Financial Services
ICICIBANK,2024-06-21 05:30:00,1163.55,1169.9,1150.65,1158.65,69259425,Financial Services
ICICIBANK,2024-06-24 05:30:00,1154.65,1175.65,1152.65,1170.1,12210295,Financial Services
ICICIBANK,2024-06-25 05:30:00,1170.25,1206.0,1167.65,1197.95,27309845,Financial Services
ICICIBANK,2024-06-26 05:30:00,1202.0,1222.85,1193.85,1218.0,25403461,Financial Services
ICICIBANK,2024-06-27 05:30:00,1228.35,1235.0,1209.1,1219.9,20516632,Financial Services
ICICIBANK,2024-06-28 05:30:00,1227.0,1227.0,1196.35,1199.6,12507092,Financial Services
ICICIBANK,2024-07-01 05:30:00,1199.6,1215.35,1192.05,1211.85,8636894,Financial Services
ICICIBANK,2024-07-02 05:30:00,1217.0,1217.0,1185.55,1190.6,16153925,Financial Services
ICICIBANK,2024-07-03 05:30:00,1196.85,1215.85,1179.45,1201.6,22330897,Financial Services
ICICIBANK,2024-07-04 05:30:00,1229.0,1234.95,1214.3,1233.0,15275791,Financial Services
ICICIBANK,2024-07-05 05:30:00,1225.0,1242.6,1220.85,1233.4,9535575,Financial Services
ICICIBANK,2024-07-08 05:30:00,1228.9,1239.5,1216.9,1235.05,6617190,Financial Services
ICICIBANK,2024-07-09 05:30:00,1234.95,1250.2,1229.3,1248.25,13366874,Financial Services
ICICIBANK,2024-07-10 05:30:00,1252.75,1252.75,1236.35,1243.2,18226503,Financial Services
ICICIBANK,2024-07-11 05:30:00,1246.35,1257.8,1225.05,1238.45,11307116,Financial Services
ICICIBANK,2024-07-12 05:30:00,1235.9,1252.9,1230.1,1232.9,12208290,Financial Services
ICICIBANK,2024-07-15 05:30:00,1233.1,1238.45,1224.05,1229.95,15612671,Financial Services
ICICIBANK,2024-07-16 05:30:00,1230.0,1245.0,1229.0,1239.9,12320605,Financial Services
ICICIBANK,2024-07-18 05:30:00,1234.9,1256.45,1231.7,1250.3,10999632,Financial Services
ICICIBANK,2024-07-19 05:30:00,1244.0,1250.5,1240.25,1248.65,7958817,Financial Services
ICICIBANK,2024-07-22 05:30:00,1240.0,1245.3,1232.9,1241.15,9958965,Financial Services
ICICIBANK,2024-07-23 05:30:00,1241.15,1248.65,1212.5,1226.75,19369832,Financial Services
ICICIBANK,2024-07-24 05:30:00,1225.0,1233.65,1202.05,1223.0,20122521,Financial Services
ICICIBANK,2024-07-25 05:30:00,1205.5,1218.25,1190.6,1197.9,14154461,Financial Services
ICICIBANK,2024-07-26 05:30:00,1190.0,1220.0,1185.95,1207.2,19309265,Financial Services
ICICIBANK,2024-07-29 05:30:00,1215.15,1242.75,1204.15,1212.7,28458261,Financial Services
ICICIBANK,2024-07-30 05:30:00,1213.0,1230.85,1204.4,1209.45,23972277,Financial Services
ICICIBANK,2024-07-31 05:30:00,1219.0,1224.65,1211.0,1214.9,22297629,Financial Services
ICICIBANK,2024-08-01 05:30:00,1212.5,1222.65,1206.9,1210.1,8725046,Financial Services
ICICIBANK,2024-08-02 05:30:00,1197.0,1201.65,1190.1,1196.55,10735395,Financial Services
ICICIBANK,2024-08-05 05:30:00,1182.0,1188.9,1167.0,1172.6,14306771,Financial Services
ICICIBANK,2024-08-06 05:30:00,1175.0,1187.7,1161.5,1166.85,13575619,Financial Services
ICICIBANK,2024-08-07 05:30:00,1178.95,1179.8,1161.6,1172.45,15753644,Financial Services
ICICIBANK,2024-08-08 05:30:00,1166.95,1174.4,1158.9,1164.6,10806438,Financial Services
ICICIBANK,2024-08-09 05:30:00,1176.55,1180.95,1169.0,1171.6,8687307,Financial Services
ICICIBANK,2024-08-12 05:30:00,1171.0,1178.25,1156.0,1172.8,10860455,Financial Services
ICICIBANK,2024-08-13 05:30:00,1183.2,1189.25,1163.6,1168.35,13117927,Financial Services
ICICIBANK,2024-08-14 05:30:00,1167.0,1170.05,1153.0,1161.65,13431801,Financial Services
ICICIBANK,2024-08-16 05:30:00,1170.0,1193.0,1165.65,1187.25,10961370,Financial Services
ICICIBANK,2024-08-19 05:30:00,1191.0,1195.75,1173.3,1175.9,6686394,Financial Services
ICICIBANK,2024-08-20 05:30:00,1174.2,1189.8,1170.0,1179.45,10427061,Financial Services
ICICIBANK,2024-08-21 05:30:00,1177.0,1178.65,1165.1,1174.85,17234142,Financial Services
ICICIBANK,2024-08-22 05:30:00,1182.0,1192.6,1176.6,1191.1,8564142,Financial Services
ICICIBANK,2024-08-23 05:30:00,1193.0,1205.0,1188.55,1203.5,7518309,Financial Services
ICICIBANK,2024-08-26 05:30:00,1205.55,1214.95,1201.05,1213.3,10920226,Financial Services
ICICIBANK,2024-08-27 05:30:00,1213.3,1232.5,1208.9,1226.35,16295325,Financial Services
ICICIBANK,2024-08-28 05:30:00,1222.65,1226.4,1217.3,1223.85,12291305,Financial Services
ICICIBANK,2024-08-29 05:30:00,1218.95,1235.0,1217.0,1221.9,10806748,Financial Services
ICICIBANK,2024-08-30 05:30:00,1230.0,1235.55,1218.9,1229.2,21211148,Financial Services
ICICIBANK,2024-09-02 05:30:00,1239.0,1239.2,1222.5,1229.95,12516759,Financial Services
ICICIBANK,2024-09-03 05:30:00,1227.2,1250.95,1220.4,1247.7,19114907,Financial Services
ICICIBANK,2024-09-04 05:30:00,1239.85,1243.7,1232.8,1236.35,13505843,Financial Services
ICICIBANK,2024-09-05 05:30:00,1238.0,1244.85,1231.3,1235.95,9142811,Financial Services
ICICIBANK,2024-09-06 05:30:00,1225.95,1233.9,1205.0,1208.15,10170479,Financial Services
ICICIBANK,2024-09-09 05:30:00,1202.9,1238.3,1200.45,1235.0,13863250,Financial Services
ICICIBANK,2024-09-10 05:30:00,1236.95,1241.35,1227.0,1237.3,15545130,Financial Services
ICICIBANK,2024-09-11 05:30:00,1231.5,1239.3,1226.4,1236.35,11993242,Financial Services
ICICIBANK,2024-09-12 05:30:00,1238.0,1257.0,1226.35,1252.15,15376442,Financial Services
ICICIBANK,2024-09-13 05:30:00,1252.0,1255.95,1242.05,1250.35,9877288,Financial Services
ICICIBANK,2024-09-16 05:30:00,1251.0,1265.6,1244.7,1262.85,8973335,Financial Services
ICICIBANK,2024-09-17 05:30:00,1259.95,1272.25,1258.4,1268.1,11513121,Financial Services
ICICIBANK,2024-09-18 05:30:00,1262.0,1295.35,1262.0,1288.35,12466597,Financial Services
ICICIBANK,2024-09-19 05:30:00,1288.35,1300.0,1285.35,1292.0,13172268,Financial Services
ICICIBANK,2024-09-20 05:30:00,1295.0,1362.35,1291.55,1338.45,73257767,Financial Services
ICICIBANK,2024-09-23 05:30:00,1331.0,1331.8,1308.5,1321.9,11380409,Financial Services
ICICIBANK,2024-09-24 05:30:00,1321.0,1331.4,1315.45,1318.6,13886037,Financial Services
ICICIBANK,2024-09-25 05:30:00,1310.75,1327.75,1310.1,1323.85,8728019,Financial Services
ICICIBANK,2024-09-26 05:30:00,1320.0,1333.35,1316.9,1329.05,11100869,Financial Services
ICICIBANK,2024-09-27 05:30:00,1333.0,1333.0,1303.85,1306.6,17117379,Financial Services
ICICIBANK,2024-09-30 05:30:00,1292.1,1296.8,1270.9,1273.0,12622212,Financial Services
ICICIBANK,2024-10-01 05:30:00,1269.8,1280.25,1267.6,1274.4,10972413,Financial Services
ICICIBANK,2024-10-03 05:30:00,1253.6,1265.75,1248.15,1256.35,17648551,Financial Services
ICICIBANK,2024-10-04 05:30:00,1247.1,1264.4,1236.2,1239.75,13488887,Financial Services
ICICIBANK,2024-10-07 05:30:00,1241.55,1262.95,1225.0,1233.9,20667247,Financial Services
ICICIBANK,2024-10-08 05:30:00,1241.0,1247.8,1229.75,1236.6,12219259,Financial Services
ICICIBANK,2024-10-09 05:30:00,1243.05,1265.1,1232.65,1244.15,14765997,Financial Services
ICICIBANK,2024-10-10 05:30:00,1246.75,1254.7,1238.0,1243.5,9118195,Financial Services
ICICIBANK,2024-10-11 05:30:00,1237.0,1240.8,1222.0,1223.0,8472512,Financial Services
ICICIBANK,2024-10-14 05:30:00,1221.0,1237.9,1217.4,1231.75,11833929,Financial Services
ICICIBANK,2024-10-15 05:30:00,1238.95,1258.3,1235.4,1255.5,11657338,Financial Services
ICICIBANK,2024-10-16 05:30:00,1248.5,1254.95,1241.6,1243.15,7869727,Financial Services
ICICIBANK,2024-10-17 05:30:00,1249.45,1256.95,1224.4,1231.25,8459497,Financial Services
ICICIBANK,2024-10-18 05:30:00,1227.95,1268.9,1225.25,1264.5,11018126,Financial Services
ICICIBANK,2024-10-21 05:30:00,1264.5,1272.35,1250.55,1259.05,7742775,Financial Services
ICICIBANK,2024-10-22 05:30:00,1266.6,1284.9,1259.75,1267.5,20090801,Financial Services
ICICIBANK,2024-10-23 05:30:00,1261.0,1267.95,1243.05,1251.6,14055447,Financial Services
ICICIBANK,2024-10-24 05:30:00,1250.25,1260.45,1241.05,1252.75,12223031,Financial Services
ICICIBANK,2024-10-25 05:30:00,1247.25,1268.9,1234.2,1255.45,13546055,Financial Services
ICICIBANK,2024-10-28 05:30:00,1285.5,1307.8,1280.6,1292.85,24096412,Financial Services
ICICIBANK,2024-10-29 05:30:00,1301.35,1335.35,1299.25,1331.85,20656117,Financial Services
ICICIBANK,2024-10-30 05:30:00,1324.0,1330.9,1305.6,1312.15,15055031,Financial Services
ICICIBANK,2024-10-31 05:30:00,1307.25,1318.95,1288.55,1292.25,23497314,Financial Services
ICICIBANK,2024-11-01 05:30:00,1289.95,1296.2,1286.25,1291.8,1007022,Financial Services
ICICIBANK,2024-11-04 05:30:00,1290.1,1291.8,1270.05,1277.2,14309121,Financial Services
ICICIBANK,2024-11-05 05:30:00,1273.0,1301.3,1263.1,1296.7,16431920,Financial Services
ICICIBANK,2024-11-06 05:30:00,1300.25,1315.0,1292.7,1302.35,12037405,Financial Services
ICICIBANK,2024-11-07 05:30:00,1297.15,1302.8,1275.25,1278.7,9909035,Financial Services
ICICIBANK,2024-11-08 05:30:00,1270.0,1275.0,1252.7,1258.85,11195808,Financial Services
ICICIBANK,2024-11-11 05:30:00,1262.0,1275.9,1246.65,1269.3,8387780,Financial Services
ICICIBANK,2024-11-12 05:30:00,1276.15,1295.0,1264.5,1270.6,13486168,Financial Services
